Hematologic cancer	PAX5
Hematologic cancer	PBX1
Hematologic cancer	PC
Hematologic cancer	PDE4B
Hematologic cancer	PDGFA
Hematologic cancer	PDGFB
Hematologic cancer	PDGFRA
Hematologic cancer	PDGFRB
Hematologic cancer	SLC26A4
Hematologic cancer	PER1
Hematologic cancer	ABCB1
Hematologic cancer	PHYH
Hematologic cancer	PIK3CA
Hematologic cancer	PIK3CB
Hematologic cancer	PIK3CD
Hematologic cancer	PIK3CG
Hematologic cancer	PIK3R1
Hematologic cancer	PLS3
Hematologic cancer	PMAIP1
Hematologic cancer	PML
Hematologic cancer	PON1
Hematologic cancer	POU4F1
Hematologic cancer	PPEF1
Hematologic cancer	SRGN
Hematologic cancer	PRKCG
Hematologic cancer	PRKCZ
Hematologic cancer	MAPK3
Hematologic cancer	MAPK8
Hematologic cancer	MAP2K1
Hematologic cancer	PRTN3
Hematologic cancer	PTEN
Hematologic cancer	PTGER4
Hematologic cancer	PTHLH
Hematologic cancer	TWF1
Hematologic cancer	PTPN1
Hematologic cancer	PTPN2
Hematologic cancer	PTPN11
Hematologic cancer	PTPRC
Hematologic cancer	PTPRJ
Hematologic cancer	RAD1
Hematologic cancer	RAC2
Hematologic cancer	RAD21
Hematologic cancer	RARA
Hematologic cancer	RARS
Hematologic cancer	RB1
Hematologic cancer	ARID4A
Hematologic cancer	REL
Hematologic cancer	RET
Hematologic cancer	RGS2
Hematologic cancer	RPLP1
Hematologic cancer	RPS14
Hematologic cancer	S100A8
Hematologic cancer	S100A10
Hematologic cancer	CLEC11A
Hematologic cancer	CCL2
Hematologic cancer	CCL3
Hematologic cancer	CCL17
Hematologic cancer	SDC1
Hematologic cancer	SELL
Hematologic cancer	SGK1
Hematologic cancer	SH3GL1
Hematologic cancer	SIPA1
Hematologic cancer	SLC22A1
Hematologic cancer	SMARCA4
Hematologic cancer	SNCA
Hematologic cancer	FSCN1
Hematologic cancer	SOD2
Hematologic cancer	SOX11
Hematologic cancer	SP2
Hematologic cancer	SP100
Hematologic cancer	SPARC
Hematologic cancer	SPI1
Hematologic cancer	SPN
Hematologic cancer	SRC
Hematologic cancer	STAT1
Hematologic cancer	STAT3
Hematologic cancer	STAT5A
Hematologic cancer	STAT5B
Hematologic cancer	SVIL
Hematologic cancer	SYK
Hematologic cancer	TAL1
Hematologic cancer	CNTN2
Hematologic cancer	TCEA2
Hematologic cancer	TCF3
Hematologic cancer	PRDX2
Hematologic cancer	TERF2
Hematologic cancer	TERT
Hematologic cancer	TFRC
Hematologic cancer	TGFB1
Hematologic cancer	TGFBR3
Hematologic cancer	THPO
Hematologic cancer	THY1
Hematologic cancer	TIA1
Hematologic cancer	TIAM1
Hematologic cancer	TNF
Hematologic cancer	TOP1
Hematologic cancer	TOP2A
Hematologic cancer	TOP2B
Hematologic cancer	TP53
Hematologic cancer	TRH
Hematologic cancer	TRIO
Hematologic cancer	TSC2
Hematologic cancer	TUBB2A
Hematologic cancer	TXK
Hematologic cancer	TXN
Hematologic cancer	SUMO1
Hematologic cancer	UCHL1
Hematologic cancer	VEGFA
Hematologic cancer	WT1
Hematologic cancer	ZAP70
Hematologic cancer	ZBTB16
Hematologic cancer	PXDN
Hematologic cancer	CXCR4
Hematologic cancer	DEK
Hematologic cancer	KAT6A
Hematologic cancer	NUP214
Hematologic cancer	MLLT10
Hematologic cancer	ELL
Hematologic cancer	NCOA3
Hematologic cancer	AKAP17A
Hematologic cancer	SMC1A
Hematologic cancer	ARID1A
Hematologic cancer	PICALM
Hematologic cancer	EOMES
Hematologic cancer	NR0B2
Hematologic cancer	TNFSF11
Hematologic cancer	ASMTL
Hematologic cancer	RFXANK
Hematologic cancer	DNAH11
Hematologic cancer	ABCC3
Hematologic cancer	TNFSF10
Hematologic cancer	TNFRSF10B
Hematologic cancer	DPM1
Hematologic cancer	GMPS
Hematologic cancer	CFLAR
Hematologic cancer	PER3
Hematologic cancer	PER2
Hematologic cancer	SPHK1
Hematologic cancer	BCL10
Hematologic cancer	SMC3
Hematologic cancer	ARHGEF1
Hematologic cancer	SYNGR1
Hematologic cancer	MSC
Hematologic cancer	PDLIM7
Hematologic cancer	ABCG2
Hematologic cancer	GSTO1
Hematologic cancer	NCOR1
Hematologic cancer	NCOR2
Hematologic cancer	TCL1B
Hematologic cancer	HDAC9
Hematologic cancer	KBTBD11
Hematologic cancer	MAFB
Hematologic cancer	MAGEC1
Hematologic cancer	FGF19
Hematologic cancer	SH2B3
Hematologic cancer	TOM1
Hematologic cancer	TSPAN32
Hematologic cancer	PREB
Hematologic cancer	RASGRP1
Hematologic cancer	MAEA
Hematologic cancer	IKZF1
Hematologic cancer	IFI30
Hematologic cancer	CXCL13
Hematologic cancer	GAS2L1
Hematologic cancer	GNA13
Hematologic cancer	TNFSF13B
Hematologic cancer	CCT6B
Hematologic cancer	STAG2
Hematologic cancer	CHL1
Hematologic cancer	SEPT9
Hematologic cancer	GJB6
Hematologic cancer	FTCD
Hematologic cancer	PPP1R13L
Hematologic cancer	MALT1
Hematologic cancer	MAPRE2
Hematologic cancer	PIM2
Hematologic cancer	PSIP1
Hematologic cancer	SP140
Hematologic cancer	VSIG4
Hematologic cancer	CASC3
Hematologic cancer	MAPRE3
Hematologic cancer	DKK1
Hematologic cancer	NBEAL2
Hematologic cancer	ARHGEF12
Hematologic cancer	ABCB9
Hematologic cancer	CBX7
Hematologic cancer	TNFRSF13B
Hematologic cancer	PRAME
Hematologic cancer	SMUG1
Hematologic cancer	PRKD2
Hematologic cancer	POT1
Hematologic cancer	IPCEF1
Hematologic cancer	SETBP1
Hematologic cancer	IFT172
Hematologic cancer	CHIC2
Hematologic cancer	FOXP1
Hematologic cancer	B3GAT1
Hematologic cancer	EIF2AK1
Hematologic cancer	BBC3
Hematologic cancer	AGO2
Hematologic cancer	SALL3
Hematologic cancer	SETD2
Hematologic cancer	TLX3
Hematologic cancer	EHD3
Hematologic cancer	CD207
Hematologic cancer	FOXP3
Hematologic cancer	SBDS
Hematologic cancer	LEF1
Hematologic cancer	CRBN
Hematologic cancer	GCNT4
Hematologic cancer	CHMP5
Hematologic cancer	FXYD6
Hematologic cancer	FXYD5
Hematologic cancer	CNTN5
Hematologic cancer	A4GALT
Hematologic cancer	CYCS
Hematologic cancer	DDIT4
Hematologic cancer	UGT1A1
Hematologic cancer	TET2
Hematologic cancer	WHSC1L1
Hematologic cancer	ULK4
Hematologic cancer	ACOXL
Hematologic cancer	FBXW7
Hematologic cancer	SMPD3
Hematologic cancer	POLR3E
Hematologic cancer	MYNN
Hematologic cancer	KMT2E
Hematologic cancer	SALL4
Hematologic cancer	AICDA
Hematologic cancer	RHOJ
Hematologic cancer	SCYL1
Hematologic cancer	GRAMD1B
Hematologic cancer	MKL1
Hematologic cancer	BACH2
Hematologic cancer	MYO1G
Hematologic cancer	CRLF2
Hematologic cancer	ATL2
Hematologic cancer	NSD1
Hematologic cancer	RBM15
Hematologic cancer	RFX7
Hematologic cancer	BCL11B
Hematologic cancer	ZNF552
Hematologic cancer	BAALC
Hematologic cancer	HDAC11
Hematologic cancer	ZFP91
Hematologic cancer	CLPTM1L
Hematologic cancer	VOPP1
Hematologic cancer	FIP1L1
Hematologic cancer	PLVAP
Hematologic cancer	HDAC10
Hematologic cancer	ARID5B
Hematologic cancer	CARD11
Hematologic cancer	DOT1L
Hematologic cancer	GLIS2
Hematologic cancer	MUM1
Hematologic cancer	TMEM241
Hematologic cancer	LDHAL6B
Hematologic cancer	PKHD1L1
Hematologic cancer	TMEM132D
Hematologic cancer	PRIMA1
Hematologic cancer	IGFL2
Hematologic cancer	PSORS1C2
Hematologic cancer	ASXL1
Hematologic cancer	LDHD
Hematologic cancer	KLHDC8B
Hematologic cancer	CENPV
Hematologic cancer	HYLS1
Hematologic cancer	P2RY8
Hematologic cancer	SERPINA9
Hematologic cancer	ZC3H12D
Hematologic cancer	TGM6
Hematologic cancer	SLC35B2
Hematologic cancer	AGRN
Brain cancer	ABR
Brain cancer	ALK
Brain cancer	ALX3
Brain cancer	APC
Brain cancer	ATOH1
Brain cancer	CCND1
Brain cancer	BRCA2
Brain cancer	BSG
Brain cancer	CCNE1
Brain cancer	CDK4
Brain cancer	CDK6
Brain cancer	CDKN2A
Brain cancer	CTNNB1
Brain cancer	CYP2C9
Brain cancer	DAPK1
Brain cancer	DMBT1
Brain cancer	DNMT1
Brain cancer	EGFR
Brain cancer	ENO2
Brain cancer	ERBB2
Brain cancer	ESR2
Brain cancer	EWSR1
